Person 1,Person 2,Person 3,Subject,Endorsement,Ep Title,Description,Pod Title,Participant,Chip,Link,Length (minutes),Comment,Traditional News Broadcast?,Not on YouTube?,Delete?
Lena,Michael,Thomas Leonard,John Fetterman,H,#2222 - John Fetterman,"John Fetterman is an American politician serving as the junior United States senator from Pennsylvania since 2023.
Learn more about your ad choices. Visit podcastchoices.com/adchoices",The Joe Rogan Experience,,Joe Rogan Experience #2222 - John Fetterman - YouTube,https://www.youtube.com/watch?v=_y-59phRHRM,127,,FALSE,FALSE,FALSE
Thomas Seeger,rosie,Amber*,John Fetterman,H,John Fetterman on the Fight for Pennsylvania,"Rick talks to Senator John Fetterman about the neck and neck presidential race in Pennsylvania, where the winner will likely decide the election. They discuss the razor-thin margin Trump won the state by in 2016 and the hot-button issues this year like abortion and the economy. Fetterman emphasizes the importance of authenticity in political candidates, and his belief that winning hinges on keeping it real.

Follow Senator Fetterman on X at @SenFettermanPA or connect with him at fetterman.senate.gov.

Follow Rick Wilson at @TheRickWilson on X and subscribe to his Substack at therickwilson.substack.com.
Join the fight with Lincoln Project at www.lincolnproject.us and follow us on X at @ProjectLincoln.
And please subscribe, rate and review this podcast, thank you!
Learn more about your ad choices. Visit megaphone.fm/adchoices",The Lincoln Project,,John Fetterman on the Fight for Pennsylvania - YouTube,https://www.youtube.com/watch?v=P8Y2ePl89y8,24,,FALSE,FALSE,FALSE
Amber,Malia,Connor Swenson,Donald Trump,T,#2219 - Donald Trump,"Donald Trump is currently the 2024 Presidential Candidate of the Republican Party. He previously served as America’s 45th president, and is also a businessman and media personality.
Learn more about your ad choices. Visit podcastchoices.com/adchoices",The Joe Rogan Experience,,Joe Rogan Experience #2219 - Donald Trump,https://www.youtube.com/watch?v=hBMoPUAeLnY,178,,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Thomas Seeger,Malia,Amber*,John Fetterman,H,Republicans Attack Zelensky Over Pennsylvania Visit,"Republicans are now accusign Ukraine of interfering in the United States election because Ukrainian President Zelensky just went to Pennsylvania. As House Speaker Johnson says someone needs to be fired, Pennsylvania Senator John Fetterman joins to respond. Plus, more Secret Service turmoil after an agent is now on leave over allegations of sexual misconduct. 
Learn more about your ad choices. Visit podcastchoices.com/adchoices",The Source with Kaitlan Collins,,Republicans Attack Zelensky Over Pennsylvania Visit | The Source with Kaitlan Collins - YouTube,https://www.youtube.com/watch?v=AcQX9npvFqA,49,might need to pull reach data not from this link,TRUE,FALSE,FALSE
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Lena,Michael,Thomas Leonard,RFK,T,"On the Record: Robert F. Kennedy, Jr.","Major is in Nashville, TN, to interview independent presidential candidate Robert F. Kennedy, Jr. The hourlong chat covers Kennedy’s assessment of the race now that President Biden is out, parallels to the 1968 campaign, his history of childhood vaccine skepticism, his view of January 6th rioters, 9/11, his health, cryptocurrency and much, much more. Join us in Music City.
To learn more about listener data and our privacy practices visit: https://www.audacyinc.com/privacy-policy
Learn more about your ad choices. Visit https://podcastchoices.com/adchoices",The Takeout,,"Robert F. Kennedy Jr. on ""The Takeout"" | July 28, 2024 - YouTube",https://www.youtube.com/watch?v=slwkJ9HOLwU,43,,FALSE,FALSE,FALSE
Thomas Seeger,Malia,Owen Fick,RFK,T,"Robert F. Kennedy Jr. – America: Past, Present, and Future","Host Eric Metaxas welcomes lawyer, activist, and Independent Presidential candidate Mr. Robert F. Kennedy Jr. to the Socrates in the City stage with a standing ovation for a conversation on America. In keeping with the forum’s history, Mr. Metaxas asks Mr. Kennedy the big questions, questions on “life, God, and other small topics”. Conversation topics […]
The post Robert F. Kennedy Jr. – America: Past, Present, and Future first appeared on Socrates in the City.",Socrates in the City,,"Robert F. Kennedy Jr. - America: Past, Present, and Future - YouTube",https://www.youtube.com/watch?v=JhXVOZLjFJQ,84,,FALSE,FALSE,FALSE
Thomas Leonard,Rosie,Owen Fick,Vivek Ramaswamy,T,"#445 – Vivek Ramaswamy: Trump, Conservatism, Nationalism, Immigration, and War","Vivek Ramaswamy is a conservative politician, entrepreneur, and author of many books on politics, including his latest titled Truths: The Future of America First.
See below for timestamps, transcript, and to give feedback, submit questions, contact Lex, etc.

Transcript:
https://lexfridman.com/vivek-ramaswamy-transcript

OUTLINE:
(00:00) - Introduction
(12:50) - Conservatism
(16:06) - Progressivism
(21:41) - DEI
(26:33) - Bureaucracy
(33:25) - Government efficiency
(48:34) - Education
(1:02:59) - Military Industrial Complex
(1:25:18) - Illegal immigration
(1:46:53) - Donald Trump
(2:08:18) - War in Ukraine
(2:19:31) - China
(2:30:42) - Will Vivek run in 2028?
(2:42:21) - Approach to debates

PODCAST LINKS:
- Podcast Website: https://lexfridman.com/podcast
- Apple Podcasts: https://apple.co/2lwqZIr
- Spotify: https://spoti.fi/2nEwCF8
- RSS: https://lexfridman.com/feed/podcast/
- Podcast Playlist: https://www.youtube.com/playlist?list=PLrAXtmErZgOdP_8GztsuKi9nrraNbKKp4
- Clips Channel: https://www.youtube.com/lexclips",Lex Fridman Podcast,,"Vivek Ramaswamy: Trump, Conservatism, Nationalism, Immigration, and War | Lex Fridman Podcast #445 - YouTube",https://www.youtube.com/watch?v=Q8Qk_3a3lUw,160,,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,
Thomas Seeger,Rosie,Connor Swenson,RFK,T,Robert F. Kennedy Jr. | A Leader Surrendered To God’s Plan,"Recently, Robert F. Kennedy stepped down from the 2024 presidential race and openly endorsed the Republican candidate, former President Donald Trump. A few weeks after this decision, he stopped by the RWP set to talk about the importance of his faith in the face of opposition. I was so proud and honored to interview him, not only as an advocate for his work but also as a mother of three.",Rebecca Weiss Podcast (Video),,Robert F. Kennedy Jr. | A Leader Surrendered To God’s Plan - YouTube,https://www.youtube.com/watch?v=rN3-wC0nkOA,19,,FALSE,FALSE,FALSE
Nik,Michael,Connor Swenson,RFK,T,"Robert F. Kennedy, Jr. Getting kicked off the NY State presidential ballot is un-American | 8-13-2024","Listen to Robert F. Kennedy, Jr. on Cats & Cosby from Tuesday, August 13th, 2024.
Learn more about your ad choices. Visit megaphone.fm/adchoices",Cats & Cosby with John Catsimatidis and Rita Cosby,,,#REF!,,,FALSE,FALSE,FALSE
Lena,Malia,Connor Swenson,RFK,T,"Independent Presidential Candidate Robert F. Kennedy, Jr., August 12th, 2024","As he continues his independent Presidential campaign, Robert F. Kennedy Jr. sat down with CBS6 on Power and Politics for a wide-ranging, 30-minute interview.
Their conversation begins with RFK Jr.'s thoughts on the recent federal trial in Albany regarding a lawsuit by Democrats to get RFK Jr. off the ballot in New York State.
From there RFK addressed leaving the Democratic Party, and his family's reaction to that, as some have since endorsed the Biden-Harris campaign. He says he stands for a Democratic Party which believes in freedom of speech, pro-life and bodily autonomy, anti-war and that represents the American middle class.
RFK's ""America Strong"" platform is his plan to ""unify America"", with many of its tenets focused on ending ""politically motivated"" prosecutions of private and political figures, so CBS6 asked if he would pardon Donald Trump if elected. RFK Jr. said he'd need to investigate further, and also, when asked if he'd be in Mr. Trump's cabinet, resolutely said ""No.""
His views differ on American support in Ukraine and Israel, which he discussed at length, saying the United States is fighting a proxy war of their own in Ukraine, and that Israel has a right to defend themselves after the attacks from Hamas.
He says he wants to address and reverse negative U.S. health outcomes, and address the impact of artificial intelligence moving forward.
CBS6 also asked him why the ""skeletons"" in his closet are different than any other politician. He responded by saying he is telling the truth, and never planned on running for President of the United State, and that he ""wouldn't run for Pope.""
Learn more about your ad choices. Visit megaphone.fm/adchoices",Power & Politics,,,#REF!,,,FALSE,FALSE,FALSE
Thomas Seeger,Rosie,Amber,AOC,H,Rep. Alexandria Ocasio-Cortez | A League Of Her Own,"Night 4 of the DNC and Stephen is LIVE in Chicago from The Auditorium with his guest, Rep. Alexandria Ocasio-Cortez!
To learn more about listener data and our privacy practices visit: https://www.audacyinc.com/privacy-policy
Learn more about your ad choices. Visit https://podcastchoices.com/adchoices",The Late Show Pod Show with Stephen Colbert,,,#REF!,,,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Thomas Seeger,Rosie,Thomas Leonard,AOC,H,Kamala’s Closing Argument (feat. AOC),"Kamala Harris delivers a rousing closing speech, promising to be a president for all Americans and sharply contrasting her plans with Donald Trump's. Trump works to clean up that terrible Puerto Rico joke, getting assists from Sean Hannity and, unfortunately, President Biden, and Trump and surrogates like Elon Musk and Mike Johnson remind voters about their plans to take away health care and slash government budgets—and maybe crash the economy while they're at it. Jon Lovett and the Bulwark's Tim Miller sift through all of it, including the three remaining groups of undecided voters and the unending debate over invoking ""fascism."" Then, Lovett and Rep. Alexandria Ocasio-Cortez talk about how to persuade disaffected progressives and what she's been seeing on the ground in Pennsylvania. For a closed-captioned version of this episode, click here. For a transcript of this episode, please email transcripts@crooked.com and include the name of the podcast.",Pod Save America,,Kamala Harris Holds MASSIVE Closing Rally On Site of Trump's Jan. 6 Speech + AOC Interview - YouTube,https://www.youtube.com/watch?v=adLMXI7J1wY,30,just AOC section?,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Nik,Amber,Connor Swenson,Tulsi Gabbard,T,#131 Tulsi Gabbard - The Dark Behaviors of the Democratic Party,"Tulsi Gabbard is a former member of Congress and New York Times bestselling Author. She was elected to the Hawaii State Legislature in 2002 at just 21, becoming the youngest person ever elected in the state. In 2003, she joined the Hawaii Army National Guard and in 2004 became the first state official to voluntarily step down from office to serve in a war zone.
She completed two tours in the Middle East, earning the Meritorious Service Medal during her 2005 deployment in Iraq. During her second deployment in 2009, she trained the Kuwait National Guard. Elected to the Honolulu City Council in 2010, Tulsi chaired the Safety, Economic Development, and Government Affairs Committee and vice-chaired the Budget Committee. She was elected to the U.S. House of Representatives in 2012, where she is one of the first female combat veterans to serve.
Gabbard's political career has been focused on veterans' issues, strategic decisions, and sustainable economic policies. She remains dedicated to affordable health care, quality education, and economic prosperity for all Americans.",Shawn Ryan Show,,Tulsi Gabbard - The Dark Behaviors of the Democratic Party | SRS #131 - YouTube,https://www.youtube.com/watch?v=hgbDlqzsbh0,128,Informal Podcast Interview,FALSE,FALSE,FALSE
Lena,Michael,Thomas Leonard,Vivek Ramaswamy,T,Vivek Ramaswamy,Vivek Ramaswamy shares his important new book: Truths: The Future of America First --> https://a.co/d/9NAKDSPSee omnystudio.com/listener for privacy information.,The Eric Metaxas Show,,Is This REALLY The Reason People Hate Believers? Why They're Wrong | Vivek Ramaswamy | Eric Metaxas,https://youtu.be/2-VFmYFpxDc?feature=shared,24,,FALSE,FALSE,FALSE
Thomas Seeger,rosie,Amber*,Vivek Ramaswamy,T,Vivek Ramaswamy,"Mediaite editor Aidan McLaughlin speaks with entrepreneur, presidential candidate and aspiring media mogul Vivek Ramaswamy. They discuss his acquisition of a stake in BuzzFeed, the 2024 race, his evolving views on Trump, stolen election lies, and why he thinks it's ""problematic"" for Democrats to call Trump and his movement weird.
This episode was produced by Brandon Reschke and Kathryn Wilkens.",Mediaite's Press Club,,"Vivek Ramaswamy in the Hot Seat: Trump, 2024, Lies and BuzzFeed",https://youtu.be/SL3XfW5IHdU?feature=shared,44,,FALSE,FALSE,FALSE
Nik,Amber,Connor Swenson,JD Vance,T,Sen. JD Vance,"JD Vance is a United States Senator (R-OH) who is also running for Vice President on the Republican ticket alongside Donald Trump. Before his political career he was a lawyer and wrote the popular memoir “Hillbilly Elegy” in 2016. 
Senator JD Vance joins Theo to talk about how life has changed for him since becoming Donald Trump’s running mate 3 months ago, how his family’s history with addiction shaped his career and beliefs, and the worst fights he’s seen at Ohio State vs. Michigan games. 
Sen. JD Vance: https://x.com/JDVance",This Past Weekend w/ Theo Von,,Sen. JD Vance | This Past Weekend w/ Theo Von #540,https://www.youtube.com/watch?v=vd8mmTDDqAs,121,Informal Podcast interview,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Nik,Malia,Thomas Leonard,Tulsi Gabbard,T,Tulsi Gabbard/Lex Fridman,,Lex Fridman Podcast,,"Tulsi Gabbard: War, Politics, and the Military Industrial Complex | Lex Fridman Podcast #423 - YouTube",https://www.youtube.com/watch?v=_El9riy9Zjw,111,,FALSE,FALSE,FALSE
Lena,rosie,Amber,Vivek Ramaswamy,T,Defining American Identity | Vivek Ramaswamy,"Vivek Ramaswamy is an American business leader, New York Times bestselling author, and former Republican presidential candidate whose standout performances on the debate stage and the campaign trail have made him a mainstay commentator on topics ranging from the latest electoral trends to the economy, Big Tech, and higher education. In his latest book, ""Truths: The Future of America First,"" Vivek criticizes the Republican Party’s shortcomings and lays out a positive vision for the future of American conservatism. In this episode of the Sunday Special, Vivek and I discuss how the Trump campaign can win this election season, the failures of neoliberalism, and the need to redefine ‘Americanism’ in support of our country’s founding ideals.",The Ben Shapiro Show,,Defining American Identity | Vivek Ramaswamy,https://youtu.be/dxaqubWP3aM?feature=shared,55,,FALSE,FALSE,FALSE
Thomas Seeger,Michael,Owen Fick,Vivek Ramaswamy,T,481. 10 Disruptive Truths | Vivek Ramaswamy,"Dr. Jordan B. Peterson sits down with author, podcaster, and patriot Vivek Ramaswamy. They discuss his new book (releasing September 24th), “Truths: The Future of America First.” In this episode, they explore the reality of God, the fundamental nature of the sexual binary, how the Left has crafted a new belief system out of paradoxical claims, and how biblical morality is intrinsic to the fabric of America. Vivek Ramaswamy is an American business leader, New York Times bestselling author, and former 2024 Republican U.S. presidential candidate. Born and raised in Cincinnati, Ohio, he went on to become a serial entrepreneur and CEO who founded several successful businesses including Roivant Sciences, Strive, and Chapter. He is a bestselling author of three books — “Woke, Inc.” (2021), “Nation of Victims” (2022), and “Capitalist Punishment” (2023) — with a fourth book coming in 2024, “Truths: The Future of America First.” In 2023, Vivek served as an executive producer on the film “City of Dreams,” which addresses human trafficking and child slavery in the United States. He is a graduate of St. Xavier High School, Harvard College, and Yale Law School. This episode was filmed on September 5th, 2024  - Links - For Vivek Ramaswamy: Preorder Truths: The Future of America First ",The Jordan B. Peterson Podcast,,10 Disruptive Truths | Vivek Ramaswamy | EP 481,https://youtu.be/4gkOjroD184?feature=shared,90,,FALSE,FALSE,FALSE
